#1;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;
#;6WE_5;6WE_30;6WE_25;6WE_31
double default(8761,5);;;;
727200;27666.83789;23414.95508;24771.62305;27005.49609
730800;25748.41602;26763.8418;23852.59375;28181.76367
734400;25339.13867;26709.6875;24133.33789;27131.14258
738000;21753.69336;24073.82031;23388.71484;24107.99609
741600;24636.75;24054.33008;24225.82422;24868.09961
745200;23861.61133;22038.74414;22323.05078;23167.57813
748800;22882.94141;22890.04102;22908.64063;24465.87305
752400;20631.55664;21354.32422;20923.74219;21294.5957
756000;20495.24219;22431.2793;20519.38086;21847.63086
759600;21610.11523;21861.15039;19598.68555;21988.49805
763200;22016.11133;24015.49414;22185.6582;22778.87305
766800;18483.59766;20901.33594;19621.78906;18743.34375
770400;21650.61328;19345.79883;17935.94727;21339.35938
774000;19115.93359;19703.54688;17880.60547;20587.40234
777600;15854.59766;18185.9668;17976.96094;19348.66797
781200;16465.00781;19535.72266;18410.55859;20155.30273
784800;18123.93945;18809.91602;19457.90234;20077.70898
788400;14147.84863;14868.26074;15236.03809;15373.39746
792000;12387.21973;10913.52051;13765.2832;12781.57617
795600;9738.28418;13767.60449;12837.23926;9949.688477
799200;13818.52246;13533.28809;15318.72363;14619.11426
802800;14250.92285;13949.35449;15677.39453;14939.46582
806400;15431.99512;14030.51758;14799.47949;15360.07129
810000;15247.79688;14950.68555;15208.03027;14572.59961
813600;20017.01367;16644.67773;17649.9043;19444.37891
817200;17918.36719;19636.76758;16143.61426;19765.14258
820800;19082.77734;18677.01758;17869.13086;20259.45898
824400;16534.02734;18438.89063;18121.9082;17205.70313
828000;19214.71484;19539.45508;17391.70117;19708.99414
831600;18279.88867;18109.84375;14433.60352;18121.82617
835200;17494.30859;17801.52344;15940.45508;19019.88672
838800;15863.88281;16103.50684;13818.4248;16900.83203
842400;14726.88379;15972.75781;12987.30273;16411.34961
846000;14945.2002;16365.57422;13268.77051;17974.98633
849600;17791.25;18953.7832;17221.38867;19129.07617
853200;16280.95898;17017.95313;15465.81543;16701.53516
856800;17390.86328;15010.8623;15614.17969;18117.57617
860400;15028.5791;16888.99609;15153.5498;15824.66797
