#1;0;0;0;0;0;0;0;0
"#Heat demand profiles as used in the project IntegraNet (GWI/UMSICHT). Calculated based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;;;;;
#;6WE_26;6WE_14;6WE_32;6WE_8;6WE_9;6WE_16;6WE_20;6WE_18
double default(8761,9);;;;;;;;
504000;4194.576172;3763.545166;6529.110352;27413.5;28851.24609;2348.920166;4625.926758;1641.666626
507600;2522.112793;275.8089905;1651.523071;24649.10156;21877.95703;1826.793579;3943.807617;3294.898438
511200;4602.144531;932.7575684;3279.989014;28355.85156;21981.4082;2820.066162;3867.991943;2881.380615
514800;2595.447998;135.8201447;3234.980469;24934.11914;21151.63867;3976.911621;4062.152832;2588.494629
518400;3921.934326;1093.243896;3343.697021;25345.24023;23134.94336;3070.337158;3334.93457;1601.532104
522000;4831.440918;3005.968018;4686.716309;27226.38281;25763.2207;4640.083496;4667.102051;1356.043823
525600;4464.654297;3246.443848;4981.381348;27163.90234;24859.875;2921.181885;3734.503906;4711.962402
529200;2422.365723;689.7091675;1232.549683;22729.16797;16824.97461;2515.267822;3644.77002;2480.358154
532800;614.5205078;1701.756104;2099.874023;19909.69141;20841.86719;937.0438232;3978.786865;1407.62561
536400;1252.335815;1456.476318;2456.010498;8360.069336;15672.45996;2157.619629;4782.069336;3278.923584
540000;2295.390869;2025.087646;2677.635498;21410.89844;21920.60938;3333.294434;4301.713867;3095.810303
543600;4159.771484;3656.615234;4329.757813;23738.31055;23279.26172;3612.9104;4447.408203;4301.404297
547200;5157.29248;3795.232422;3143.021484;24976.51563;23996.15039;4546.66748;4922.3125;4281.99707
550800;3878.287842;3176.759521;3937.25;23953.57813;23337.23047;4005.827393;4998.001953;5584.176758
554400;10194.05371;9979.901367;7125.269043;31402.14844;33961.16016;6575.481445;7620.011719;8082.384766
558000;9812.420898;8235.606445;8260.1875;31510.96094;30781.75;6056.978027;5181.22168;8538.740234
561600;8452.5625;9053.664063;11348.08398;30762.82617;31739.84961;7871.032715;7062.703613;6246.640625
565200;4244.154785;3163.208252;6008.760254;26591.48633;25542.42578;4040.526611;4088.869873;4408.731934
568800;4445.474121;3909.831787;2382.985107;26005.83984;26073.85547;2942.073486;3857.651855;4065.964844
572400;1096.364624;321.0787964;2491.991943;23490.11523;18608.38281;1281.50061;3118.537842;2651.320557
576000;4283.630371;1372.811279;3059.430176;26475.5332;22952.58398;2583.999756;2680.188232;1161.498047
579600;1512.145386;564.8200073;2020.582031;22269.53125;19665.88672;968.0699463;2232.412354;374.1113892
583200;3032.666992;758.3591309;1870.646851;23908.89258;18100.79492;943.2894287;3242.844238;0
586800;6310.649414;1694.068481;2757.176758;26630.12695;22530.60156;49.29520798;2289.012451;2652.174072
590400;4082.620117;2088.000244;3490.7854;25541.05469;25522.72461;1215.291626;3038.783203;3167.582764
594000;2955.39209;1589.835205;2119.122314;23533.32813;20652.03516;733.2115479;1695.289429;3021.172363
597600;3868.849365;2001.503662;4188.249512;25170.12695;21519.23438;3071.330322;2407.149414;1780.566772
601200;2266.79541;1469.599487;2825.130615;23488.81055;20654.01367;1444.999268;2293.941895;935.7890625
604800;3152.292725;1300.179321;2631.253662;24213.27539;21961.96484;1404.146729;2000.748047;1958.754395
608400;3857.903076;3073.27832;3466.609375;25015.44141;22906.27344;2661.762207;2780.666748;567.4591675
612000;3829.67334;3192.117188;3685.727051;23462.24414;22522.5918;2122.372559;3187.412354;2916.29248
615600;1597.722046;1238.917847;840.0082397;20072.55078;15987.78906;1625.232666;2444.922852;2980.547363
619200;24.85934258;2151.725586;867.5327148;18588.10352;20236.16406;1236.721558;2388.0271;1958.379761
622800;686.3464355;2235.718262;2254.409668;7918.405762;15386.40527;2597.630371;4221.194336;3534.771973
626400;1838.956177;2775.667969;2438.818848;20701.37695;21196.98633;3781.714844;4255.283691;3789.406494
630000;4042.800537;3632.945068;4362.818359;22730.51367;22754.58789;3753.981689;4293.708984;4414.176758
633600;5296.847168;3988.706299;3269.001465;24606.64648;23845.50586;4921.427734;5084.68457;4906.306641
637200;4006.837158;3502.831055;3696.339844;22432.41016;23308.41211;3997.455811;4776.800781;5722.792969
640800;10470.41699;9645.920898;6231.835449;31321.91602;33686.54688;6470.329102;6967.533203;8215.384766
644400;9602.432617;7546.629883;6140.849609;31178.51563;30022.05859;5668.686035;3340.208496;8143.251465
648000;6964.380859;9502.161133;7662.728027;29455.85547;31588.16992;9332.098633;5969.402832;5570.755859
651600;4782.866699;4425.169922;5903.329102;27121.32813;26969.2793;7336.284668;4099.443848;4426.162109
655200;6424.774414;5510.683594;4446.047363;28821.03906;28188.9707;5500.064941;5015.742188;5140.616699
658800;4398.444336;2568.282715;3912.258057;26225.04883;24760.51172;3935.078369;3743.907715;5254.921387
662400;6165.82959;3799.364014;3563.498779;28811.31641;26236.05859;4584.499023;3961.448242;5115.367676
666000;3285.649414;2602.904541;2165.102051;24236.93359;24102.67773;2210.613037;2872.005859;3027.918945
669600;3965.900146;3233.318115;3082.501953;25882.75;25079.01367;3853.640137;4144.371094;3319.97876
673200;5917.637207;5129.929199;2970.860596;27014.91016;26962.43945;2904.240967;2901.817627;4422.568359
676800;3272.272705;6437.576172;8124.775879;24877.20117;27451.97656;4276.38623;5396.023926;4052.347412
680400;2777.439941;2987.662109;3087.35498;21433.10156;23880.66992;3336.067871;2798.61084;3461.583984
684000;2989.614502;2800.879639;4649.502441;23418.09375;24265;3790.100342;1632.649658;3633.451172
687600;1999.759644;2515.623779;2755.371338;20059.66406;22374.19336;2375.273682;1344.685913;2565.258545
691200;1984.42041;1841.768799;2584.290527;20639.00977;22003.82422;1222.916748;791.2172852;1599.994507
694800;2375.09082;2849.762451;3764.011475;23285.28125;22212.63477;3843.430664;2092.642822;1449.124634
698400;3761.431885;2591.057861;5167.581543;24149.21289;22060.62109;1398.298706;1655.548828;3647.611816
702000;1038.562378;656.2419434;1417.295654;18733.55664;16231.50879;2058.170898;2839.882568;2287.038086
705600;108.3730469;1807.583618;1795.903931;17633.23047;19626.88867;1482.790161;3612.890137;1314.535889
709200;821.7404175;2032.838745;2198.101563;7592.838379;14388.77539;2574.050293;4657.537109;3346.090576
712800;1592.980835;2485.083984;2448.936035;19985.81836;19870.15625;3318.040283;4130.482422;3463.759277
716400;3779.429199;3469.604492;4225.695313;21387.12891;20759.80664;3431.935059;4145.498535;4171.27002
720000;5117.465332;3339.476563;3383.243408;22907.41016;21741.22266;4093.20752;4756.702637;4286.30957
723600;3572.591309;3087.874268;3555.776367;21657.25391;21000.86914;3832.052246;4103.35791;5235.888672
727200;8933.746094;8957.5;6550;27956.10156;30364.52344;5818.337402;6546.114258;7627.445313
