#1;0;0;0;0;0;0;0;0
"#DHW profiles as used in the project IntegraNet (GWI/UMSICHT) based on different sources. For details see:  Gemeinsamer Abschlussbericht des Forschungsvorhabens IntegraNet: ""Integrierte Betrachtung von Strom-, Gas- und Wärmesystemen zur modellbasierten Optimierung des Energieausgleichs- und Transportbedarfs innerhalb der deutschen Energienetze"", Benthin et al. (2020)";;;;;;;;
#Kind_ID;6WE_27;6WE_24;6WE_19;6WE_1;6WE_29;6WE_15;6WE_11;6WE_10
double default(105121,9);;;;;;;;
139200;0;0;0;0;0;0;0;0
139500;0;0;0;0;0;0;0;0
139800;0;0;0;0;0;0;0;0
140100;0;0;0;0;0;0;0;0
140400;0;0;0;0;0;0;0;0
140700;0;0;0;0;0;0;0;0
141000;0;0;0;0;2095;0;0;0
141300;0;0;0;0;0;0;0;279.34
141600;0;0;0;0;0;0;0;279.34
141900;2095;0;0;0;0;0;0;0
142200;0;0;0;0;0;0;0;0
142500;0;0;0;0;0;0;0;0
142800;0;0;0;0;0;0;0;0
143100;0;0;0;0;0;0;0;0
143400;0;0;0;0;0;0;0;0
143700;0;0;0;0;0;0;0;0
144000;0;0;0;3352;0;0;0;167.6
144300;0;0;0;13408;0;0;0;670.4
144600;0;0;0;0;0;0;0;0
144900;0;0;0;2095;0;0;0;104.75
145200;0;0;0;0;0;0;0;2095
145500;0;0;0;0;0;0;0;0
145800;0;0;0;0;0;0;0;0
146100;0;2095;0;0;0;0;0;0
146400;0;0;0;0;0;0;0;419.01
146700;0;0;0;0;0;0;0;139.67
147000;0;0;0;0;0;0;0;0
147300;0;0;8380.2;0;0;0;0;0
147600;0;16760;2793.4;0;0;0;0;502.8
147900;0;20950;0;0;0;0;0;439.95
148200;0;20950;0;0;0;0;0;0
148500;0;4190;0;0;0;0;8380;104.75
148800;0;0;0;0;0;0;20950;0
149100;0;0;0;0;0;0;23045;104.75
149400;0;0;0;0;0;0;12570;670.4
149700;0;0;0;0;0;0;0;167.6
150000;11173.6;0;0;0;0;0;0;0
150300;0;0;0;0;0;0;0;0
150600;0;0;0;0;0;0;0;0
150900;0;0;0;0;0;0;0;0
151200;0;0;0;0;0;0;0;0
151500;0;0;0;0;0;0;5586.8;0
151800;0;0;0;0;0;10056;5586.8;558.68
152100;0;0;0;0;0;6704;2095;0
152400;0;0;0;0;0;2095;0;0
152700;0;0;0;0;0;2793.4;0;0
153000;0;0;2095;0;2095;10475.2;0;0
153300;0;0;0;0;0;3352;0;670.4
153600;0;0;0;0;0;13408;0;272.35
153900;0;0;0;0;2095;0;0;0
154200;0;0;0;0;0;0;0;209.5
154500;0;10056;0;0;0;0;0;942.75
154800;0;8799;0;13408;0;0;0;0
155100;0;0;0;5447;0;0;0;0
155400;0;0;8380;0;8380;0;0;0
155700;3352;0;23045;0;23045;8799;0;0
156000;17598;0;20950;0;24302;10056;0;0
156300;0;0;12570;0;28073;0;0;104.75
156600;0;0;0;0;5447;0;0;523.76
156900;0;0;0;0;13408;0;0;139.67
157200;0;25978;0;0;0;0;0;0
157500;0;24302;0;0;0;0;0;2095
157800;0;23045;0;0;0;0;0;0
158100;0;23045;0;0;0;0;0;0
158400;0;8380;0;0;0;0;0;0
158700;0;0;0;0;0;0;0;0
159000;0;0;0;0;0;0;0;0
159300;0;0;0;0;0;0;0;0
159600;0;0;0;0;0;0;0;0
159900;0;0;0;0;0;0;2095;0
160200;0;0;0;0;0;0;0;0
160500;0;0;0;0;0;0;0;0
160800;0;2095;0;0;0;0;0;0
161100;0;0;0;0;0;0;0;0
161400;0;0;0;0;0;0;0;670.4
161700;0;0;0;0;0;0;0;670.4
162000;0;0;0;0;0;0;0;104.75
162300;2095;0;0;0;0;0;0;0
162600;0;0;0;0;0;0;2793.4;0
162900;2095;15503;0;0;0;0;8380.2;104.75
163200;0;6704;0;0;2095;5447;0;104.75
163500;0;2793.4;0;0;0;13408;0;0
163800;0;8380.2;0;0;0;0;0;0
164100;8799;0;0;0;0;0;0;2095
164400;10056;0;0;0;0;0;0;0
164700;0;0;0;0;0;0;0;2095
165000;0;0;0;0;0;0;0;0
165300;0;4190;0;0;0;0;0;0
165600;0;0;0;0;0;0;0;0
165900;0;0;0;0;0;0;0;2095
166200;0;4190;0;0;0;0;0;0
166500;0;0;0;0;0;0;0;0
166800;13268.6;0;0;0;0;3352;0;1047.5
167100;6704;0;0;0;2095;13408;0;439.95
167400;12151;0;0;0;0;0;0;607.55
167700;2095;0;2095;0;2095;0;0;104.75
168000;16760;0;0;0;0;2095;0;942.75
168300;0;0;0;0;0;0;0;104.75
168600;0;0;0;0;0;0;0;0
168900;0;0;2095;0;0;0;0;0
169200;0;0;0;0;0;0;0;0
169500;0;0;0;0;0;0;0;0
169800;0;0;0;0;0;0;0;439.95
170100;2095;0;0;0;2095;0;0;607.55
170400;3352;0;0;2095;2095;0;0;272.35
170700;13408;0;0;0;0;0;0;670.4
171000;2095;0;0;0;2095;0;0;0
171300;0;0;0;0;0;0;0;104.75
171600;0;0;0;0;0;0;0;502.8
171900;0;0;0;0;0;0;0;335.2
172200;0;0;0;0;0;0;0;104.75
172500;0;0;0;0;0;0;0;104.75
172800;0;0;0;0;0;0;0;0
173100;0;0;0;0;0;0;0;0
173400;0;0;0;0;0;0;0;0
173700;0;0;0;0;0;0;0;0
174000;0;0;0;0;0;0;0;0
174300;0;0;0;0;0;0;0;0
174600;0;0;0;0;0;0;0;0
174900;0;0;0;0;0;0;0;0
175200;0;0;0;0;0;0;0;0
175500;0;0;0;0;0;0;0;0
175800;0;0;0;0;0;0;0;0
176100;0;0;0;0;0;0;0;0
176400;0;0;0;0;0;0;0;0
176700;0;0;0;0;0;0;0;0
177000;0;0;0;0;0;0;0;0
177300;0;0;0;0;0;0;0;0
177600;0;0;0;0;0;0;0;0
177900;0;0;0;0;0;0;0;0
178200;0;0;0;0;0;0;0;0
178500;0;0;0;0;0;0;0;0
178800;0;0;0;0;0;0;0;0
179100;0;0;0;0;0;0;0;0
179400;0;0;0;0;0;0;0;0
179700;0;0;0;0;0;0;0;0
180000;0;0;0;0;0;0;0;0
180300;0;0;0;0;0;0;0;0
180600;0;0;0;0;0;0;0;0
180900;0;0;0;0;0;0;0;0
181200;0;0;0;0;0;0;0;0
181500;0;0;0;0;0;0;0;0
181800;0;0;0;0;0;0;0;0
182100;0;0;0;0;0;0;0;0
182400;0;0;0;0;0;0;0;209.5
182700;0;0;0;0;0;0;0;0
183000;0;0;0;0;0;0;0;0
183300;0;0;0;0;0;0;0;0
183600;0;0;0;0;0;0;0;0
183900;0;0;0;0;0;0;0;0
184200;0;0;0;0;0;0;0;0
184500;0;0;0;0;0;0;0;0
184800;0;0;0;0;0;0;0;0
185100;0;0;0;0;0;0;0;0
185400;0;0;0;0;0;0;0;0
185700;0;0;0;0;0;0;0;0
186000;0;0;0;0;0;0;0;0
186300;0;0;0;0;0;0;0;0
