#1	
double	default(8784, 2) # Time [s], Temperature [°C], data from Hamburg-Fuhlsbuettel (Latitude:53.633; Longitude:9.988) in 2012, station height 11m. Source: DeutscherWetterdienstDWD2015
2959200	-9.5
2962800	-10.3
2966400	-10.1
2970000	-7.8
2973600	-7
2977200	-6.3
2980800	-6.1
2984400	-5.8
2988000	-6.4
2991600	-6.9
2995200	-8.3
2998800	-10
3002400	-11.3
3006000	-12.1
3009600	-12.8
3013200	-13.2
3016800	-13.7
3020400	-13.3
3024000	-14.7
3027600	-13.7
3031200	-13.3
3034800	-12.2
3038400	-12.2
3042000	-12.4
3045600	-12.5
3049200	-12.8
3052800	-12
3056400	-10.1
3060000	-8.5
3063600	-7.7
3067200	-7.1
3070800	-6.6
3074400	-6.2
3078000	-6.2
3081600	-7
3085200	-7.8
3088800	-8.3
3092400	-8.7
3096000	-9.5
3099600	-10.6
3103200	-11.2
3106800	-11.8
3110400	-12
3114000	-12.3
3117600	-12.6
3121200	-12.8
3124800	-13
3128400	-13.5
3132000	-13.5
3135600	-13.9
3139200	-13.8
3142800	-12.9
3146400	-11.7
3150000	-10.2
3153600	-9.1
3157200	-8.6
3160800	-8.5
3164400	-8.8
3168000	-9.8
3171600	-10.4
3175200	-11.4
3178800	-12.4
3182400	-13.3
3186000	-14
3189600	-15.8
3193200	-16.2
3196800	-16.3
3200400	-17.6
3204000	-15.6
3207600	-14
3211200	-13.8
3214800	-12.2
3218400	-10.7
3222000	-9.6
3225600	-8.1
3229200	-7.2
3232800	-5.5
3236400	-4.9
3240000	-4.8
3243600	-4.8
3247200	-4
3250800	-3.5
3254400	-3.3
3258000	-3.2
3261600	-2.8
3265200	-2.8
3268800	-2.9
3272400	-2.8
3276000	-2.2
3279600	-1.9
3283200	-1.9
3286800	-1.7
3290400	-2.5
3294000	-2.5
3297600	-2.5
3301200	-2.6
3304800	-2.7
3308400	-2.6
3312000	-2.3
3315600	-1.7
3319200	-1.5
3322800	-1
3326400	-0.3
3330000	-0.8
3333600	-0.7
3337200	-1.3
3340800	-1.8
3344400	-2.1
3348000	-2.3
3351600	-2.9
3355200	-3
3358800	-3
3362400	-3.1
3366000	-3
3369600	-2.8
3373200	-2.7
3376800	-2.7
3380400	-2.7
3384000	-2.9
3387600	-2.9
3391200	-3.1
3394800	-3.4
3398400	-2.9
3402000	-2.2
3405600	-2.3
3409200	-2
3412800	-1.2
3416400	0.6
3420000	-0.1
3423600	-0.9
3427200	-1.5
3430800	-2.8
3434400	-3.4
3438000	-3.9
3441600	-4.1
3445200	-5
3448800	-4.6
3452400	-6
3456000	-6.1
3459600	-5.4
3463200	-4.4
3466800	-4.2
3470400	-4.2
3474000	-5.9
3477600	-4.8
3481200	-4.8
3484800	-4.5
3488400	-4.1
3492000	-3.2
3495600	-2.9
3499200	-2.2
3502800	-2.1
3506400	-2
3510000	-2.2
3513600	-3.3
3517200	-3.8
3520800	-5.1
3524400	-6.7
3528000	-7.6
3531600	-5.5
3535200	-5.1
3538800	-4.6
3542400	-4.2
3546000	-4.5
3549600	-4.4
3553200	-4.4
3556800	-4.1
3560400	-4.3
3564000	-3.6
3567600	-3.4
3571200	-3.4
3574800	-3.3
3578400	-2.8
3582000	-2.5
3585600	-2.2
3589200	-2.1
3592800	-2
3596400	-2.5
3600000	-2.9
3603600	-3.6
3607200	-3.9
3610800	-4.4
3614400	-5
3618000	-4.9
3621600	-5.4
3625200	-5.8
3628800	-6.8
3632400	-7.2
3636000	-5.6
3639600	-4.7
3643200	-4.5
3646800	-4.3
3650400	-4.8
3654000	-4.7
3657600	-4.2
3661200	-3.7
3664800	-3.3
3668400	-2.7
3672000	-2.3
3675600	-1.9
3679200	-2.1
3682800	-1.9
3686400	-1.9
3690000	-1.6
3693600	-1.3
3697200	-1.1
3700800	-0.6
3704400	-0.5
3708000	-0.5
3711600	-0.6
3715200	-1
3718800	-1.4
3722400	-1.9
3726000	-2.6
3729600	-2.8
3733200	-3
3736800	-2.8
3740400	-2.8
3744000	-2.4
3747600	-2
3751200	-1.6
3754800	-1.2
3758400	-0.3
3762000	0.4
3765600	0.8
3769200	1.1
3772800	1.3
3776400	0.9
3780000	1
3783600	1
3787200	1
3790800	1.1
3794400	0.8
3798000	0.8
3801600	0.8
3805200	1
3808800	1.2
3812400	1.3
3816000	1.3
3819600	1.3
3823200	1
3826800	1.2
3830400	1.4
3834000	1.5
3837600	1.9
3841200	2.4
3844800	2.8
3848400	2.8
3852000	3
3855600	3
3859200	2.6
3862800	2.3
3866400	2.2
3870000	3
3873600	2.9
3877200	3
3880800	3.9
3884400	4.8
3888000	5.1
3891600	4.5
3895200	4.1
3898800	3.2
3902400	2.5
3906000	1.8
3909600	1.9
3913200	1.8
3916800	2.4
3920400	3.6
3924000	4.7
3927600	5.6
3931200	6.2
3934800	6.7
3938400	6.6
3942000	6.2
3945600	5.3
3949200	3.6
3952800	2.6
3956400	1.9
3960000	1.6
3963600	1.4
3967200	1
3970800	-0.7
3974400	-1.3
3978000	-2.5
3981600	-3.8
3985200	-4.2
3988800	-4
3992400	-4.6
3996000	-4.5
3999600	-3.6
4003200	-1.6
4006800	0.2
4010400	1.5
4014000	1.9
4017600	3
4021200	2.9
4024800	3.2
4028400	3.7
4032000	3.9
4035600	4.4
4039200	4.7
4042800	4.9
4046400	4.7
4050000	4.7
4053600	4.5
4057200	4.5
4060800	4.3
4064400	4.3
4068000	4.3
4071600	4.4
4075200	4.4
4078800	4.4
4082400	4.3
4086000	4
4089600	3.6
4093200	4.2
4096800	4.3
4100400	4.7
4104000	5.2
4107600	6.4
4111200	6.4
4114800	6.4
4118400	6
4122000	5.6
4125600	4.9
4129200	4.6
4132800	4.3
4136400	3.3
4140000	3.3
4143600	3.5
4147200	3.7
4150800	3.7
4154400	2.9
4158000	3.3
4161600	3.6
4165200	3.8
4168800	4.3
4172400	4.8
4176000	5.5
4179600	6.1
4183200	6.5
4186800	6.7
4190400	6.7
4194000	6.8
4197600	6.8
4201200	6.7
4204800	6.3
4208400	6.3
4212000	6.7
4215600	6.9
4219200	6.9
4222800	6.8
4226400	6.7
4230000	6.5
4233600	3.6
4237200	3.1
4240800	3
4244400	2.7
4248000	2.6
4251600	2.2
4255200	2.4
4258800	2.5
4262400	2.4
4266000	2.2
4269600	2.7
4273200	3.9
4276800	5
4280400	5
4284000	5.1
4287600	4.6
4291200	4
4294800	2.6
4298400	1.9
4302000	1.2
4305600	1.1
4309200	0.8
4312800	0.4
4316400	0
4320000	0.1
4323600	-0.1
4327200	-0.3
4330800	-0.3
4334400	-0.5
4338000	-0.4
4341600	-0.5
4345200	-0.7
4348800	0
4352400	1.7
4356000	3.1
4359600	4.4
