#1;T_K
#Temperature for Duesseldorf 2017 1 m depth;
#Source: CDC DWD #DWD Climate Data Center (CDC): Hourly station observations of soil temperature at the depth of 100cm in
#°C for Germany, version v18.1 & recent
double default(8761,2);
2581200;275.95
2584800;275.95
2588400;275.95
2592000;275.95
2595600;275.95
2599200;275.95
2602800;275.95
2606400;275.95
2610000;275.95
2613600;275.95
2617200;275.95
2620800;275.95
2624400;275.95
2628000;275.85
2631600;275.85
2635200;275.85
2638800;275.85
2642400;275.95
2646000;275.95
2649600;275.95
2653200;275.95
2656800;275.95
2660400;275.95
2664000;275.95
2667600;275.95
2671200;275.95
2674800;275.95
2678400;275.95
2682000;275.95
2685600;275.95
2689200;275.95
2692800;275.95
2696400;275.95
2700000;275.95
2703600;275.95
2707200;275.95
2710800;275.95
2714400;276.05
2718000;276.05
2721600;276.05
2725200;276.05
2728800;276.05
2732400;276.05
2736000;276.05
2739600;276.05
2743200;276.05
2746800;276.05
2750400;276.05
2754000;276.05
2757600;276.15
2761200;276.15
2764800;276.15
2768400;276.15
2772000;276.15
2775600;276.15
2779200;276.15
2782800;276.15
2786400;276.15
2790000;276.15
2793600;276.15
2797200;276.15
2800800;276.25
2804400;276.25
2808000;276.25
2811600;276.25
2815200;276.25
2818800;276.25
2822400;276.25
2826000;276.25
2829600;276.25
2833200;276.25
2836800;276.35
2840400;276.35
2844000;276.35
2847600;276.35
2851200;276.35
2854800;276.35
2858400;276.35
2862000;276.45
2865600;276.45
2869200;276.45
2872800;276.45
2876400;276.45
2880000;276.45
2883600;276.55
2887200;276.55
2890800;276.55
2894400;276.55
2898000;276.55
2901600;276.65
2905200;276.65
2908800;276.65
2912400;276.65
2916000;276.65
2919600;276.65
2923200;276.75
2926800;276.75
2930400;276.75
2934000;276.75
2937600;276.85
2941200;276.85
2944800;276.85
2948400;276.85
2952000;276.85
2955600;276.95
2959200;276.95
2962800;276.95
2966400;276.95
2970000;276.95
2973600;277.05
2977200;277.05
2980800;277.05
2984400;277.05
2988000;277.15
2991600;277.15
2995200;277.15
2998800;277.15
3002400;277.15
3006000;277.15
3009600;277.25
3013200;277.25
3016800;277.25
3020400;277.25
3024000;277.25
3027600;277.25
3031200;277.25
3034800;277.35
3038400;277.35
3042000;277.35
3045600;277.35
3049200;277.35
3052800;277.35
3056400;277.35
3060000;277.35
3063600;277.45
3067200;277.45
3070800;277.45
3074400;277.45
3078000;277.45
3081600;277.45
3085200;277.45
3088800;277.45
3092400;277.45
3096000;277.45
3099600;277.55
3103200;277.55
3106800;277.55
3110400;277.55
3114000;277.55
3117600;277.55
3121200;277.55
3124800;277.55
3128400;277.55
3132000;277.55
3135600;277.55
3139200;277.55
3142800;277.65
3146400;277.65
3150000;277.65
3153600;277.65
3157200;277.65
3160800;277.65
3164400;277.65
3168000;277.65
3171600;277.65
3175200;277.65
3178800;277.65
3182400;277.65
3186000;277.65
3189600;277.65
3193200;277.65
3196800;277.65
3200400;277.65
3204000;277.65
3207600;277.65
3211200;277.65
3214800;277.65
3218400;277.65
3222000;277.65
3225600;277.65
3229200;277.65
3232800;277.65
3236400;277.75
3240000;277.75
3243600;277.75
3247200;277.75
3250800;277.75
3254400;277.75
3258000;277.75
3261600;277.75
3265200;277.75
3268800;277.75
3272400;277.75
3276000;277.75
3279600;277.75
3283200;277.75
3286800;277.75
3290400;277.75
3294000;277.75
3297600;277.75
3301200;277.75
3304800;277.75
3308400;277.75
3312000;277.75
3315600;277.75
3319200;277.75
3322800;277.75
3326400;277.75
3330000;277.75
3333600;277.75
3337200;277.75
3340800;277.75
3344400;277.75
3348000;277.75
3351600;277.75
3355200;277.75
3358800;277.75
3362400;277.75
3366000;277.75
3369600;277.75
3373200;277.75
3376800;277.75
3380400;277.85
3384000;277.85
3387600;277.85
3391200;277.85
3394800;277.85
3398400;277.85
3402000;277.85
3405600;277.85
3409200;277.85
3412800;277.85
3416400;277.85
3420000;277.85
3423600;277.85
3427200;277.85
3430800;277.85
3434400;277.85
3438000;277.85
3441600;277.85
3445200;277.85
3448800;277.85
3452400;277.75
3456000;277.75
3459600;277.75
3463200;277.75
3466800;277.75
3470400;277.75
3474000;277.75
3477600;277.75
3481200;277.75
3484800;277.75
3488400;277.75
3492000;277.75
3495600;277.75
3499200;277.75
3502800;277.75
3506400;277.75
3510000;277.75
3513600;277.75
3517200;277.75
3520800;277.75
3524400;277.75
3528000;277.75
3531600;277.65
3535200;277.65
3538800;277.65
3542400;277.65
3546000;277.65
3549600;277.65
3553200;277.65
3556800;277.65
3560400;277.65
3564000;277.65
3567600;277.65
3571200;277.65
3574800;277.55
3578400;277.55
3582000;277.55
3585600;277.55
3589200;277.55
3592800;277.55
3596400;277.55
3600000;277.55
3603600;277.55
3607200;277.55
3610800;277.55
3614400;277.45
3618000;277.45
3621600;277.45
3625200;277.45
3628800;277.45
3632400;277.45
3636000;277.45
3639600;277.45
3643200;277.45
3646800;277.45
3650400;277.45
3654000;277.35
3657600;277.35
3661200;277.35
3664800;277.35
3668400;277.35
3672000;277.35
3675600;277.35
3679200;277.35
3682800;277.35
3686400;277.35
3690000;277.35
3693600;277.25
3697200;277.25
3700800;277.25
3704400;277.25
3708000;277.25
3711600;277.25
3715200;277.25
3718800;277.25
3722400;277.25
3726000;277.25
