#1
#SLP with Hamburg TMY, scaled to 10 MWh yearly demand	
double default(8761,2)	
2350800	1872.69647
2354400	2230.08129
2358000	3209.3157
2361600	4124.22084
2365200	3838.31299
2368800	3645.32518
2372400	3488.07586
2376000	3323.67884
2379600	3202.168
2383200	3130.69104
2386800	3123.54334
2390400	3187.87261
2394000	3273.64497
2397600	3438.04199
2401200	3580.99591
2404800	3616.7344
2408400	3609.5867
2412000	3466.63277
2415600	3073.50947
2419200	2208.6382
2422800	1758.33332
2426400	1615.03758
2430000	1664.1909
2433600	1706.32231
2437200	1839.73846
2440800	2190.83358
2444400	3152.83423
2448000	4051.63775
2451600	3770.76165
2455200	3581.17028
2458800	3426.68843
2462400	3265.18467
2466000	3145.81233
2469600	3075.5933
2473200	3068.5714
2476800	3131.76852
2480400	3216.03135
2484000	3377.53511
2487600	3517.97316
2491200	3553.08267
2494800	3546.06077
2498400	3405.62272
2502000	3019.41808
2505600	2169.76788
2509200	1727.38802
2512800	1481.43877
2516400	1526.52604
2520000	1565.17227
2523600	1687.552
2527200	2009.6039
2530800	2892.02613
2534400	3716.47901
2538000	3458.83749
2541600	3284.92946
2545200	3143.22662
2548800	2995.08274
2552400	2885.58509
2556000	2821.17471
2559600	2814.73367
2563200	2872.70302
2566800	2949.99547
2570400	3098.13935
2574000	3226.96011
2577600	3259.1653
2581200	3252.72427
2584800	3123.9035
2588400	2769.64641
2592000	1990.28079
2595600	1584.49539
2599200	1211.85828
2602800	1248.74092
2606400	1280.35462
2610000	1380.46465
2613600	1643.9121
2617200	2365.75812
2620800	3040.1836
2624400	2829.42564
2628000	2687.16401
2631600	2571.24713
2635200	2450.0613
2638800	2360.48917
2642400	2307.79968
2646000	2302.53073
2649600	2349.95127
2653200	2413.17866
2656800	2534.36449
2660400	2639.74347
2664000	2666.08822
2667600	2660.81927
2671200	2555.44029
2674800	2265.64809
2678400	1628.10525
2682000	1296.16146
2685600	1522.60325
2689200	1545.8491
2692800	1592.3408
2696400	1679.51274
2700000	1935.2171
2703600	2498.92899
2707200	3202.11599
2710800	2963.84602
2714400	2888.297
2718000	2801.12506
2721600	2713.95312
2725200	2591.9124
2728800	2551.23216
2732400	2527.98631
2736000	2603.53532
2739600	2650.02703
2743200	2795.31359
2746800	2841.8053
2750400	2853.42822
2754000	2812.74798
2757600	2708.14165
2761200	2405.94559
2764800	1848.04516
2768400	1580.71787
2772000	1692.93781
2775600	1718.78419
2779200	1770.47695
2782800	1867.40087
2786400	2151.71104
2790000	2778.48572
2793600	3560.33868
2797200	3295.4133
2800800	3211.41257
2804400	3114.48865
2808000	3017.56473
2811600	2881.87124
2815200	2836.64008
2818800	2810.7937
2822400	2894.79443
2826000	2946.48719
2829600	3108.02705
2833200	3159.71981
2836800	3172.643
2840400	3127.41184
2844000	3011.10313
2847600	2675.10021
2851200	2054.78712
2854800	1757.55376
2858400	1569.38422
2862000	1593.34428
2865600	1641.26441
2869200	1731.11466
2872800	1994.67536
2876400	2575.70693
2880000	3300.49888
2883600	3054.90822
2887200	2977.03801
2890800	2887.18776
2894400	2797.33752
2898000	2671.54718
2901600	2629.61707
2905200	2605.65701
2908800	2683.52722
2912400	2731.44735
2916000	2881.19775
2919600	2929.11788
2923200	2941.09791
2926800	2899.1678
2930400	2791.34751
2934000	2479.86667
2937600	1904.82512
2941200	1629.28438
2944800	1365.78326
2948400	1407.35058
2952000	1442.9797
2955600	1555.80528
2959200	1852.71468
2962800	2666.24645
2966400	3426.33453
2970000	3188.807
2973600	3028.47592
2977200	2897.83579
2980800	2761.25746
2984400	2660.30826
2988000	2600.92638
2991600	2594.98819
2995200	2648.43189
2998800	2719.69014
3002400	2856.26847
3006000	2975.03223
3009600	3004.72317
3013200	2998.78498
3016800	2880.02122
3020400	2553.42088
3024000	1834.90012
